text,intent_name
"voy a solicitar el <retiro total>[procedimiento], cual es el modelo para la solicitud",formato_solicitud
"me indicaron que debo enviar una solicitud dirigida al decano para el <retiro total>[procedimiento], que mas debo colocar en esa solicitud?",formato_solicitud
en que parte puedo encontra el modelo para la solicitud <retiro total>[procedimiento],formato_solicitud
"hola aeito, un favor necesito el modelo para la solcitud de <retiro total>[procedimiento] me lo pudes enviar porfavor?",formato_solicitud
quisiera que me envien el formato para la solicitud de <retiro total>[procedimiento] porfavor,formato_solicitud
que informacion necesito colocar en la solicitud de <retiro total>[procedimiento]?,formato_solicitud
aparte de mi codigo y dni que mas debo colocar en la solicutd para mi <retiro total>[procedimiento] de todos los cursos?,formato_solicitud
hay algun formato para la solicitud de <reserva de matricula>[procedimiento] ?,formato_solicitud
¿Cuál es el modelo de solicitud para la <reserva de matricula>[procedimiento]?,formato_solicitud
cual es el formato de solicitud para la <reserva de matricula>[procedimiento] ?,formato_solicitud
si hay algun formato o modelo para la solicitud de <reserva de matricula>[procedimiento],formato_solicitud
puedes decirme si hay algun modelo para la solicitud de <reserva de matricula>[procedimiento]?,formato_solicitud
existe algun modelo para la solicitud de <reserva de matricula>[procedimiento] ?,formato_solicitud
puedes decirme donde encuentro un modelo de solicitud para la <reserva de matricula>[procedimiento] ?,formato_solicitud
si tambien puedes decirme si hay algun formato para la solicitud de <reserva de matricula>[procedimiento] ?,formato_solicitud
puedes decirme si hay algun formato para la solicitud de <reserva de matricula>[procedimiento],formato_solicitud
puedes enviarme el modelo para la solicitud de <reserva de matricula>[procedimiento],formato_solicitud
si porfavor mandame el modelo para la solicitud de <reserva de matricula>[procedimiento],formato_solicitud
tengo un duda cual es el modelo o formato para la solicitud de <reserva de matricula>[procedimiento],formato_solicitud
voy a solicitar mi <reserva de matricula>[procedimiento] pero quiero un modelo para la solicitud que debo enviar,formato_solicitud
quiero solicitar mi <reserva de matricula>[procedimiento] me puedes enviar el modelo para solicitud,formato_solicitud
que informacion debo colocar en la solicitud para la <reserva de matricula>[procedimiento]?,formato_solicitud
aparte de mi dni y mi codigo que ma debo colocar en la solicitud de <reserva de matricula>[procedimiento]?,formato_solicitud
la solicitud de <reserva de matricula>[procedimiento] es solo una solicitud simpre dirigida al decano?,formato_solicitud
me puedes enviar un modelo para la solicitud de <reserva de matricula>[procedimiento] porfavor,formato_solicitud
en donde puedo encontar un modelo para la solicitud de <reserva de matricula>[procedimiento]?,formato_solicitud
que informacion debo colocar en la solicitud para la <reserva de matricula>[procedimiento]?,formato_solicitud
que informacion es necesaria colocar en la solicitud de <reserva de matricula>[procedimiento]?,formato_solicitud
que formato debe tener la solicitud de <reserva de matricula>[procedimiento]?,formato_solicitud
cual es el modelo para la solicitud de <reserva de matricula>[procedimiento]?,formato_solicitud
¿Hay un modelo para la solicitud de <reincorporación>[procedimiento]?,formato_solicitud
¿hay un formato de solicitud para la <reincorporacion>[procedimiento]?,formato_solicitud
y hay alguna modelo para la solicitud de <reincorporación>[procedimiento]?,formato_solicitud
existe algun modelo para la solicitud de <reincorporacion>[procedimiento] ?,formato_solicitud
donde puedo encontrar un modelo para la solicitud de <reincorporacion>[procedimiento]?,formato_solicitud
podria enviarme un modelo para la solicitud de <reincorporacion>[procedimiento] ?,formato_solicitud
un consulta mas donde podria descargar un modelo o formato para la solicitud de <reincorporacion>[procedimiento],formato_solicitud
dime hay algun formato para la solicitud de <reincorporacion>[procedimiento] ?,formato_solicitud
como debe ser la solictud de <reincorporacion>[procedimiento] ?,formato_solicitud
el modelo de la solicitud de <reincorporacion>[procedimiento] tambien esta el la pagina de la FC,formato_solicitud
estoy buscando el modelo de la solicitud de <reincorporacion>[procedimiento] y no lo encuetro puedes decirme donde esta ?,formato_solicitud
una duda para la solicitud de <reincorporacion>[procedimiento] hay algun modelo o formato ?,formato_solicitud
una duda porfavor la solicitud de <reincorporacion>[procedimiento] tiene algun modelo ?,formato_solicitud
no quiero saber cual es el formato para las solicitud de <reincorporacion>[procedimiento],formato_solicitud
que informacion debo colocar en la solicitud para la <reincorporacion>[procedimiento]?,formato_solicitud
debo colocar mi dni en la solcitud de <reincorporacion>[procedimiento]?,formato_solicitud
este ciclo quiero solicitar la <reincorporacion>[procedimiento] me puedes enviar un formato?,formato_solicitud
la solicitud de <reincorporacion>[procedimiento] debe estar dirigida al decano?,formato_solicitud
me dijeron que envie una solicitud para la <reincorporacion>[procedimiento] esta debe esta dirigida al decano?,formato_solicitud
la solicitud de <reincorporacion>[procedimiento] debo redactarla dirigida al decano o alguien mas?,formato_solicitud
debo ponde mi dni en la solcitud de <reincorporacion>[procedimiento]?,formato_solicitud
que informacion debo colocar en la solicitud de <reincorporacion>[procedimiento]?,formato_solicitud
que es necesario colocar en la solicitud de <reincorporacion>[procedimiento]?,formato_solicitud
que datos debo colocar en la solicitud de <reincorporacion>[procedimiento]?,formato_solicitud
aparte de mi codigo y dni debo poner alguna informacion en la solicitud de <reincorporacion>[procedimiento]?,formato_solicitud
la solicitud de <reincorporacion>[procedimiento] es dirigida al decano de la facultad?,formato_solicitud
debe estar dirigida al decano la solicitud de <reincorporacion>[procedimiento]?,formato_solicitud
donde encuentro un modelo para la solicitud de <reincorporacion>[procedimiento]?,formato_solicitud
"quisiera un modelo para la solcitud de <reincorporacion>[procedimiento], me la puedes enviar?",formato_solicitud
a quien le puedo pedir un modelo para la solicitud de <reincorporacion>[procedimiento]?,formato_solicitud
a que oficina le puedo pedir un modelo para la solicitud de <reincorporacion>[procedimiento]?,formato_solicitud
a quien le puedo solicitar un modelo para la solicitud de <reincorporacion>[procedimiento]?,formato_solicitud
¿Hay un modelo para la solicitud de <constancia de matricula>[constancia]?,formato_solicitud
"Exacto, es lo que necesito. Hay algún formato para la solicitud de constancia matricula?",formato_solicitud
existe alguna formato para la solicitud de <constancia de matricula>[constancia],formato_solicitud
cual es el formato para la solicitud de la <constancia de matricula>[constancia],formato_solicitud
donde puedo encontrar un modelo para la solicitud de la <constancia de matricula>[constancia],formato_solicitud
"una consulta, hay algun modelo para la solicitud de <constancia de matricula>[constancia]",formato_solicitud
me puedes enviar un formato o modelo para la solicitud de <constancia de matricula>[constancia],formato_solicitud
me puedes facilitar un modelo o formato para la <constancia de matricula>[constancia],formato_solicitud
quisiera saber si hay algun modelo para la solicitud de <constancia de matricula>[constancia],formato_solicitud
"no encuentro un modelo para la solicitud de <constancia de matricula>[constancia], existe alguno?",formato_solicitud
donde se encontra un modelo o formato para esta solicitud de constancia matricula,formato_solicitud
existe algun modelo o formato para esta solicitud de constancia matricula,formato_solicitud
cual es el modelo para la solicitud de <constancia de matricula>[constancia]?,formato_solicitud
me comentaron que hay un modelo para la solicitud de <constancia de matricula>[constancia] en donde la encuentro?,formato_solicitud
"quiero solicitar una <constancia de matricula>[constancia], puedes enviarme el modelo para la solicitud",formato_solicitud
que informacion debo colocar en la solicitud de <constancia de matricula>[constancia],formato_solicitud
la solicitud de <constancia de matricula>[constancia] debe estar dirigida al decano?,formato_solicitud
la solicitud de <constancia de matricula>[constancia] debe contener mi dni?,formato_solicitud
la solicitud de <constancia de matricula>[constancia] tambien es dirigida al decano?,formato_solicitud
como es la solicitud que debo enviar para mi <constancia de matricula>[constancia]?,formato_solicitud
que informacion es necesario colocar en la solicitud para la <constancia de matricula>[constancia]?,formato_solicitud
que informacion coloco en la solicitud para la <reserva de matricula>[procedimiento]?,formato_solicitud
en necesario colocar mi dni y mi codigo en un solicitud para la reserva de matircula?,formato_solicitud
que informacion es vital colocar en una solicitud para la <reserva de matricula>[procedimiento]?,formato_solicitud
la solicitud para la <reserva de matricula>[procedimiento] debe estra dirigida al decano?,formato_solicitud
la solicitud para mi <reserva de matricula>[procedimiento] debo dirigirla al decano?,formato_solicitud
debe estar dirigida al decano la solicitud para la <reserva de matricula>[procedimiento]?,formato_solicitud
que formato debe tener la solicitud para la <reserva de matricula>[procedimiento]?,formato_solicitud
hay algun modelo que pueda seguir para la solicitud de <reserva de matricula>[procedimiento]?,formato_solicitud
me podrias alcanzar un formato para la solicitud de <reserva de matricula>[procedimiento]?,formato_solicitud
¿Hay algun modelo para la solicitud de <constancia de notas>[constancia]?,formato_solicitud
No. ¿dónde puedo ver un modelo de la solicitud de <constancia de notas>[constancia]?,formato_solicitud
donde puedo encontrar el modelo de solicitud para la <constancia de notas>[constancia],formato_solicitud
existe algun modelo para la solicitud de <constancia de notas>[constancia],formato_solicitud
habria algun modelo o formato para la solicitud de <constancia de notas>[constancia],formato_solicitud
me puedes enviar un modelo para la solicitud de <constancia de notas>[constancia],formato_solicitud
donde un encontra un modelo o formato para esta solicitud,formato_solicitud
existe algun modelo o formato para esta solicitud de <constancia de notas>[constancia],formato_solicitud
donde podria encontar un modelo de solicitud para la constacia de notas,formato_solicitud
hay algun formato para la solicitud de <constancia de notas>[constancia],formato_solicitud
me puede facilitar un modelo para la solicitud de <constancia de notas>[constancia] si la hubiera,formato_solicitud
que debo colocar en mi solicitud para la <constancia de notas>[constancia],formato_solicitud
que informacion debo colocar en mi solicitud de <constancia de notas>[constancia]?,formato_solicitud
la solicitud de <constancia de notas>[constancia] tambien debe ir dirigida al decano?,formato_solicitud
una consulta quiero enviar una solicitud para la <constancia de notas>[constancia] esta debe ir dirigida al decano?,formato_solicitud
debo colocar solo mi nombre y codigo en la solicitud de <constancia de notas>[constancia]?,formato_solicitud
que mas informacion debe ir a parte de mi codigo y nombre en la solicitud de <constancia de notas>[constancia],formato_solicitud
me pueden facilitar un modelo para la solicitud de <constancia de notas>[constancia]?,formato_solicitud
debo colocar mi dni y codigo en la solicitud para una <constancia de notas>[constancia]?,formato_solicitud
que informacion es necesaria colocar en la solicitud para una <constancia de notas>[constancia]?,formato_solicitud
que informacion no deberia de olvidar colocar en la solicitud de una <constancia de notas>[constancia]?,formato_solicitud
"hay algun dato mas que debe ir a aparte de mi codigo, nombre y dni en la solicitud de una <constancia de notas>[constancia]?",formato_solicitud
la solicitud de <constancia de notas>[constancia] debo escribirla dirigida al decano?,formato_solicitud
la solicitud de <constancia de notas>[constancia] debe ser dirigida al decano?,formato_solicitud
debo escribir la solicitud para <constancia de notas>[constancia] dirigida al decano?,formato_solicitud
la solicitud de <constancia de notas>[constancia] debe estar dirigida a alguien?,formato_solicitud
a quien le puedo solicitar un modelo para la solicitud de una <constancia de notas>[constancia]?,formato_solicitud
hay algun modelo en el que puedo basarme para la solicitud de una <constancia de notas>[constancia]?,formato_solicitud
a que oficina puedo ir a solicitar un modelo de la solicitud para una <constancia de notas>[constancia]?,formato_solicitud
existe algun formato o modelo que puedo seguir para la solcitud para una <constancia de notas>[constancia]?,formato_solicitud
¿Hay algún formato de solicitud de <constancia de estudios>[constancia]?,formato_solicitud
hay algun formato para la solictud de <constancia de estudios>[constancia],formato_solicitud
para la solicitud de <constancia de estudios>[constancia] existe algun modelo,formato_solicitud
puede enviarme un modelo para la solicitud de <constancia de estudios>[constancia],formato_solicitud
existe algun modelo para la solicitud de <constancia de estudios>[constancia],formato_solicitud
me puedes facilitar un modelo para la solicitud de <constacia de estudios>[constancia],formato_solicitud
donde puedo encontrar un modelo para la solicitud de <constancia de estudios>[constancia],formato_solicitud
donde encuantro un modelo o formato para la solicitud de <constancia de estudios>[constancia],formato_solicitud
existe un modelo o formato para esta solicitud de <constancia de estudios>[constancia],formato_solicitud
cual es el modelo para solicitud de <constancia de estudios>[constancia]?,formato_solicitud
que datos debe tener la solicitud  de <constancia de estudios>[constancia] que debo enviar al mesa de parter,formato_solicitud
que informacion debo colocar en la solicitud para un <constancia de estudios>[constancia]?,formato_solicitud
la solicitud que debo enviar para la <constancia de estudios>[constancia] debe estar dirigida al decano?,formato_solicitud
mi soliciutd para la <constancia de estudios>[constancia] debe estar dirigida al decano?,formato_solicitud
la solicitud para la <constancia de estudios>[constancia] debo dirigirla al decano?,formato_solicitud
debo colocar mi dni en la solicitud de <constancia de estudios>[constancia]?,formato_solicitud
que debo colocar en la solicitud de <constancia de estudios>[constancia]?,formato_solicitud
que informacion debe ir la solicitud de <constancia de estudios>[constancia]?,formato_solicitud
que debo colocar en la solicitud para mi <constancia de estudios>[constancia]?,formato_solicitud
que informacion debo colocar en la solicitud para la <constancia de estudios>[constancia]?,formato_solicitud
me podria falicilitar un modelo para la solicitud de <constancia de notas>[constancia]?,formato_solicitud
donde puedo descargar un modelo para la solicitud de <constancia de estudios>[constancia]?,formato_solicitud
a que oficina le puedo solicitar un modelo para la solicitud de?,formato_solicitud
a que le puedo solicitar una modelo para la solicitud de <constancia de estudios>[constancia]?,formato_solicitud
la solicitud de <constancia de estudios>[constancia] debe estar dirigida al decano?,formato_solicitud
una consulta la solicitud que debo redactar para una <constancia de estudios>[constancia] debe estar dirigida al decano?,formato_solicitud
a quien le pido un modelo para la solicitud que debo enviar para una <constancia de estudios>[constancia]?,formato_solicitud
donde le solicito un modelo para la solicitud para una <constancia de estudios>[constancia]?,formato_solicitud
debe esta dirigida al decano de la facultad la soliciutd para una de <constancia de estudios>[constancia]?,formato_solicitud
¿En que semana se realiza el <retiro parcial>[procedimiento]?,retiro_parcial__fechas
Hasta cuándo puedo hacer el <retiro parcial>[procedimiento]?,retiro_parcial__fechas
una duda a partir de semana puedo solicitar el <retiro parcial>[procedimiento] ?,retiro_parcial__fechas
en que semana puedo realizar el <retiro parcial>[procedimiento]?,retiro_parcial__fechas
Y hasta cuando podria enviar la solicitud de <retiro parcial>[procedimiento]?,retiro_parcial__fechas
hasta cuando hacer el retiro de un curso ?,retiro_parcial__fechas
quisiera saber hasta que dias puedo hacer el <retiro parcial>[procedimiento] ?,retiro_parcial__fechas
una consulta cuando se habilitara en el sistema el <retiro parcial>[procedimiento]?,retiro_parcial__fechas
Me prodrían decir la fecha máxima para hacer el <retiro parcial>[procedimiento]?,retiro_parcial__fechas
quiero solicitar el retiro de un curso hasta cuando puedo hacerlo ?,retiro_parcial__fechas
Hasta que fecha podría hacer el <retiro parcial>[procedimiento]?,retiro_parcial__fechas
"una consulta estamos ya en la cuarta semana de clases, podria hacer el <retiro parcial>[procedimiento] ?",retiro_parcial__fechas
"Hola, he querido retirarme de un curso pero me parece que un no esta habilitado cuando se habilitara el <retiro parcial>[procedimiento]?",retiro_parcial__fechas
"Buenos dias, cuando puedo realizar el retiro de un curso",retiro_parcial__fechas
cuando puedo realizar el retiro de una asignatura,retiro_parcial__fechas
"Hola, ¿cuándo son las fechas para el <retiro parcial>[procedimiento]?",retiro_parcial__fechas
"Hola, quiero retirarme de unos cursos y quiero saber las fechas",retiro_parcial__fechas
quiero retirarme algunas asignaturas y quiero saber las fechas,retiro_parcial__fechas
"Hola, una consulta cuando se habilitara el <retiro parcial>[procedimiento]",retiro_parcial__fechas
"Buenos dias, quisiera saber cuando vence el plazo de <retiro parcial>[procedimiento]",retiro_parcial__fechas
"Hola, una duda estamos en la cuarta semana de clases puedo hacer el <retiro parcial>[procedimiento]?",retiro_parcial__fechas
"Buenas, quisiera saber si aún se puede hacer el <retiro parcial>[procedimiento], el motivo es que estoy con tratamiento psiquiátrico y me recomendaron que me retire de algunos cursos",retiro_parcial__fechas
"Buenos días, cuándo es la fecha para el <retiro parcial>[procedimiento]?",retiro_parcial__fechas
"Hola, ¿Hasta cuando puedo hacer el <retiro parcial>[procedimiento]?",retiro_parcial__fechas
"Hola Aerito, hasta que dias puedo realizar el <retiro parcial>[procedimiento]",retiro_parcial__fechas
"Hola, cuándo inicia el <retiro parcial>[procedimiento]?",retiro_parcial__fechas
"Hola, una duda el <retiro parcial>[procedimiento] se habilitara en la quinta semana de clases ?",retiro_parcial__fechas
"Hola, tengo una duda en que semana se habilitara el <retiro parcial>[procedimiento]",retiro_parcial__fechas
"Buenas, ¿Cuáles son las fechas para realizar el <retiro parcial>[procedimiento]?",retiro_parcial__fechas
"Hola, quisiera retirarme de un curso me podria decir hasta cuando se habilitara en el sistema ?",retiro_parcial__fechas
cuando es el <retiro parcial>[procedimiento],retiro_parcial__fechas
puedo hacer el <retiro parcial>[procedimiento] todavia estamos ya en la sexta semana?,retiro_parcial__fechas
el <retiro parcial>[procedimiento] se puede pedir en la primera semana?,retiro_parcial__fechas
puedo solicitar el <retiro parcial>[procedimiento] en la quinta semana?,retiro_parcial__fechas
en la segunda semana ya puedo retirarme de un curso?,retiro_parcial__fechas
quiero saber la fechas para poder retirarme de algunos cursos,retiro_parcial__fechas
es la sexta semana todavia puedo retirarme de un curso?,retiro_parcial__fechas
"queria retirarme pero el retiro ya no esta habilitado en el sistema, que puedo hacer?",retiro_parcial__fechas
"ya paso la quinta pero quiero retirarme de un curso, que puedo hacer?",retiro_parcial__fechas
"ya se paso la fecha de <retiro parcial>[procedimiento], puedo solicitar el retiro de alguna forma?",retiro_parcial__fechas
"el <retiro parcial>[procedimiento] ya no sale habilitado en el sistema, podria solicitarlo de otra forma?",retiro_parcial__fechas
"quiero solictar el <retiro parcial>[procedimiento] por que ya no esta habilitado en el sistema, como puedo hacer?",retiro_parcial__fechas
como puedo pedir el <retiro parcial>[procedimiento] si ya no esta habilitado en sistema?,retiro_parcial__fechas
como puedo solicitar el <retiro parcial>[procedimiento] si ya se paso la quinta semana y ya no esta habilitado en el sistema,retiro_parcial__fechas
"si ya se pasaron las fechas de <retiro parcial>[procedimiento], como podria solitar el retiro de un curso?",retiro_parcial__fechas
puedo pedir realizar el <retiro parcial>[procedimiento] si ya se paso la quienta semana?,retiro_parcial__fechas
hay alguna manera se solicitar el retiro si ya se pasaron las fechas de retiro?,retiro_parcial__fechas
de que manera podria solicitar el <retiro parcial>[procedimiento] si ya se paso las fechas?,retiro_parcial__fechas
hay alguna posibilida de solicitar el retiro de un curso si ya paso las fechas?,retiro_parcial__fechas
puedo solicitar el retiro de un curso esta semana?,retiro_parcial__fechas
todavia puedo pedir el retiro de un curso?,retiro_parcial__fechas
"Otra consulta, ¿Hasta cuándo tengo tiempo para presentar mi solicitud de reincoporacion?",reincorporacion__fechas
"una consulta, es que fechas deberia solicitar mi <reincorporación>[procedimiento]",reincorporacion__fechas
hasta cuando podria solicitar mi reincoporarcion,reincorporacion__fechas
tengo una duda quiero reincorpararme el siguiente ciclo pero no se en que fechas debo comenzar el tramite,reincorporacion__fechas
tengo una consulta desde que fecha ya puedo iniciar el tramite para mi reicorporacion en el siguiente ciclo,reincorporacion__fechas
cuando puedo enviar mi solicitud para mi <reincorporacion>[procedimiento],reincorporacion__fechas
cuando enviar mi solicitud para mi <reincorporacion>[procedimiento] para el siguiente ciclo,reincorporacion__fechas
cuando debo enviar mi solictud para mi <reincorporacion>[procedimiento] para el siguiente periodo academico,reincorporacion__fechas
hasta que dias puedo enviar mi solicitud de <reincorporacion>[procedimiento],reincorporacion__fechas
cual es la fecha limite para enviar mi solicitud de <reincorporacion>[procedimiento],reincorporacion__fechas
¿Hasta cuando enviar mi solicitud de <reincorporacion>[procedimiento]?,reincorporacion__fechas
hasta cuando es posible reincoparme?,reincorporacion__fechas
cuando puedo solicitar la <reincorporacion>[procedimiento] para el siguiente ciclo?,reincorporacion__fechas
"Si ya pasaron las fechas de <reincorporacion>[procedimiento], ¿Puedo enviar mi solicitud de <reincorporacion>[procedimiento]?",reincorporacion__fechas
